important_features,category
5799, Cataclysm Raid
11869, Raids
8120, Pandaria
6972, Temple of Kotmogu
1261, Hallow's End
13047, Battle for Azeroth
11841, Legion
13684, Battle Raid
9858, Draenor Garrison
10544, Legion Dungeon
2095, Fishing
1919, Lich King Dungeon
5869, Cataclysm
13999, Battle Raid
9057, Draenor Dungeon
9412, Archaeology
1762, Player vs. Player
9023, Draenor Dungeon
10412, Legion Dungeon
13325, Battle Raid
8520, Pandaria Raid
6129, Cataclysm Raid
1694, Love is in the Air
489, Lich King Dungeon
3003, Raids
6821, Pandaria Dungeon
12836, Battle Raid
5213, Twin Peaks
13306, War Effort
13316, Battle Raid
5829, Cataclysm Raid
5843, Cooking
4539, Lich King Raid
6736, Pandaria Dungeon
4526, Lich King Dungeon
3002, Raids
5209, Twin Peaks
3098, Raids
2151, Lich King Dungeon
10604, Archaeology
9007, Draenor Dungeon
7328, Cooking
491, Lich King Dungeon
9571, Draenor
9655, Draenor
4874, Cataclysm
12273, Battle Dungeon
9097, Draenor Garrison
12408, Seething Shore
203, Warsong Gulch
13060, Battle for Azeroth
12499, Battle Dungeon
6026, Darkmoon Faire
3816, Lich King Raid
7518, Pandaria
7299, Pandaria
13401, Battle Raid
1517, Fishing
14023, Battle Raid
2941, Raids
5415, Tol Barad
13022, Battle for Azeroth
5475, Cooking
10610, Legion Dungeon
8112, Pandaria
10696, Legion Raid
13410, Battle Raid
3558, Pilgrim's Bounty
13050, Battle for Azeroth
13696, Battle for Azeroth
14147, Battle Raid
13629, Battle Raid
5370, Cataclysm Dungeon
204, Warsong Gulch
6420, Pandaria Dungeon
2926, Raids
8103, Pandaria
8117, Pandaria
12454, Promotions
5214, Twin Peaks
8536, Pandaria Raid
6923, Pandaria Scenarios
219, Alterac Valley
8016, Pandaria Scenarios
5310, Cataclysm Raid
10747, Legion Class Hall
5287, Cataclysm Dungeon
1817, Lich King Dungeon
8097, Pandaria Raid
7522, Pandaria Scenarios
13990, Battle Raid
5760, Cataclysm Dungeon
12009, Legion Dungeon
10457, Legion Dungeon
6874, Pandaria Scenarios
7984, Pandaria Scenarios
4975, Cataclysm
6476, Pandaria Dungeon
6472, Pandaria Dungeon
10663, Legion Raid
2940, Raids
12896, War Effort
11915, Legion Raid
12548, Battle Dungeon
12005, Legion Dungeon
12457, Battle Dungeon
6926, Dungeons & Raids
3009, Raids
7529, Pandaria Scenarios
7987, Pandaria Scenarios
14139, Battle Raid
9056, Draenor Dungeon
7385, Pandaria Scenarios
9617, Draenor
6130, Cataclysm Dungeon
13628, Battle Raid
5282, Cataclysm Dungeon
6471, Pandaria Dungeon
5418, Tol Barad
13431, Battle Raid
2760, Argent Tournament
8529, Pandaria Raid
8993, Draenor Dungeon
5476, Fishing
13473, Battle for Azeroth
961, Northrend
6928, Pandaria Dungeon
206, Warsong Gulch
6671, Pandaria Dungeon
6713, Pandaria Dungeon
3849, Isle of Conquest
