,player,realm,gear_score,last_login,time_since_login,engagement,status,Alterac Valley,Arathi Basin,Archaeology,Arena,Argent Tournament,Ashran,Battle Dungeon,Battle Raid,Battle for Azeroth,Battle for Gilneas,Battlegrounds,Brawler's Guild,Brewfest,Cataclysm,Cataclysm Dungeon,Cataclysm Raid,Character,Children's Week,Classic,Collections,Cooking,Currencies,Darkmoon Faire,Deepwind Gorge,Draenor,Draenor Dungeon,Draenor Garrison,Draenor Raid,Dungeons,Dungeons & Raids,Eastern Kingdoms,Events,Expansion Features,Exploration,Eye of the Storm,Feats of Strength,Fishing,General,Guild Feats of Strength,Hallow's End,Heart of Azeroth,Honor,Island Expeditions,Isle of Conquest,Kalimdor,Legacy,Legion,Legion Class Hall,Legion Dungeon,Legion Raid,Lich King Dungeon,Lich King Raid,Love is in the Air,Lunar Festival,Midsummer,Mounts,Noblegarden,Northrend,Outland,Pandaria,Pandaria Dungeon,Pandaria Raid,Pandaria Scenarios,Pet Battles,Pilgrim's Bounty,Player vs. Player,Professions,Promotions,Quests,Raids,Rated Battleground,Reputation,Seething Shore,Silvershard Mines,Temple of Kotmogu,The Burning Crusade,Tol Barad,Twin Peaks,Visions of N'Zoth,War Effort,Warsong Gulch,Winter Veil,Wintergrasp,World,World Events,Wrath of the Lich King
807,kaltesterne,madoran,368.0,2020-01-04,153 days 00:00:00.000000000,1.0,risk,3,2,8,5,20,10,3,7,44,0,0,1,6,17,10,36,27,1,13,0,11,6,30,0,36,17,53,27,2,5,31,20,4,3,1,45,13,0,0,9,4,0,12,0,24,16,31,15,21,10,17,89,8,13,25,5,2,22,15,27,15,32,7,0,5,38,27,0,19,19,13,7,0,1,0,34,1,0,2,8,1,5,4,1,4,8
808,malecanthe,madoran,371.0,2020-05-20,16 days 00:00:00.000000000,0.0,active,2,1,0,5,6,2,4,7,37,0,0,1,4,10,2,0,28,1,4,0,12,5,1,0,15,4,28,2,0,2,13,17,2,2,1,45,7,0,0,7,4,0,12,0,13,10,9,3,1,1,19,24,2,9,11,5,0,8,2,18,0,1,7,1,4,32,22,0,15,5,13,8,0,1,0,14,0,0,2,7,1,1,0,5,3,11
809,tenebre,madoran,379.0,2020-05-20,16 days 00:00:00.000000000,0.0,active,2,1,2,5,8,2,2,6,37,1,0,1,4,16,9,24,27,2,3,0,16,5,6,0,15,4,28,2,0,5,25,16,4,3,2,45,13,0,0,10,5,0,18,1,22,10,24,12,20,18,2,82,6,13,11,5,2,11,9,25,13,11,7,0,2,35,23,0,18,15,13,8,0,1,0,16,2,0,2,8,2,4,4,5,3,11
810,lachi,madoran,461.0,2020-06-17,-12 days +00:00:00.000000000,0.0,active,3,1,1,5,6,2,14,19,59,1,0,1,1,12,13,10,28,0,3,0,5,5,2,0,13,14,30,46,0,5,2,11,5,1,1,45,9,0,0,6,8,0,21,1,2,12,29,15,42,46,8,45,3,7,10,5,0,2,1,15,10,36,7,1,2,35,21,0,17,15,13,4,0,1,0,15,2,0,12,11,1,2,0,3,2,10
811,ächren,madoran,375.0,2020-06-09,-4 days +00:00:00.000000000,0.0,active,2,1,23,5,6,2,11,15,34,1,0,1,2,14,16,7,26,1,10,0,23,6,6,0,20,16,39,31,1,4,27,17,4,2,2,45,16,0,0,12,4,0,1,1,22,14,26,9,20,23,19,77,5,6,11,5,0,16,10,51,23,14,7,0,2,35,24,0,19,14,13,8,0,1,0,42,1,0,8,6,1,3,0,3,2,11
812,calyndra,madoran,446.0,2020-06-13,-8 days +00:00:00.000000000,0.0,active,2,1,13,5,10,2,11,15,45,1,0,1,2,9,12,23,27,0,7,1,13,6,4,0,19,16,51,34,0,4,4,12,4,1,2,45,12,0,0,6,4,0,1,1,2,15,39,12,13,22,17,110,5,7,11,5,0,8,3,27,14,24,12,1,2,32,19,0,18,67,13,4,0,1,0,26,1,0,8,9,1,1,0,1,2,10
813,miushi,madoran,452.0,2020-06-16,-11 days +00:00:00.000000000,0.0,active,2,2,9,5,6,2,3,10,33,1,0,1,2,14,17,14,25,2,8,1,1,7,5,0,15,3,32,26,1,4,25,15,4,3,2,45,7,0,0,6,3,0,1,0,20,11,24,14,25,8,19,41,6,5,11,5,1,3,2,19,15,19,5,0,2,36,23,0,18,16,13,6,0,0,0,29,2,0,2,9,3,3,6,5,2,11
814,briarina,scilla,444.0,2020-04-29,37 days 00:00:00.000000000,1.0,risk,4,2,27,5,15,2,8,12,41,1,0,6,5,33,25,49,28,2,17,1,43,12,17,0,33,20,74,37,3,5,26,23,5,3,3,23,40,0,0,4,6,0,10,1,25,22,50,18,30,36,57,161,3,3,4,3,2,16,10,65,21,67,12,1,1,26,30,1,20,90,2,5,1,1,1,43,5,2,4,7,3,4,10,1,4,10
815,buffdruidsx,zuluhed,471.0,2020-06-16,-11 days +00:00:00.000000000,0.0,active,3,2,27,15,10,8,24,21,28,2,0,6,5,27,24,26,28,2,17,1,34,14,14,2,22,13,59,3,3,4,7,21,4,1,5,23,29,0,0,3,6,0,11,0,11,17,24,10,10,23,56,109,2,3,4,3,2,10,7,57,20,63,11,1,1,41,18,1,16,71,11,2,1,2,4,39,5,5,7,6,4,4,5,2,4,9
816,cheêrwine,scilla,442.0,2020-05-30,6 days 00:00:00.000000000,0.0,active,2,1,10,15,1,8,23,20,22,1,0,6,0,18,8,22,27,1,6,1,23,8,8,2,16,11,60,15,1,2,5,17,4,1,2,23,18,0,0,3,4,0,10,0,7,11,28,14,9,12,1,73,0,0,2,3,0,4,3,29,2,25,2,0,0,32,20,1,16,19,11,2,1,1,1,19,1,5,4,2,2,1,4,2,2,10
