"205.0","","Buuloki","Honestly","US-Frostmourne","31780.0"
"206.0","","Klonkk","Death Jesters","US-Stormrage","31775.0"
"206.0","","Ayzén","Final Heaven","US-Goldrinn","31775.0"
"206.0","","Shinyterp","Helms Elite","US-Whisperwind","31775.0"
"209.0","","Cuelhoo","brb my fish is drowning","US-Azralon","31770.0"
"210.0","","Aetorus","Inconceivable","US-Bloodhoof","31745.0"
"211.0","","Bensuprarz","Fate","US-Frostmourne","31735.0"
"211.0","","Kilriella","g e n o c i d e","US-Wildhammer","31735.0"
"213.0","","Reignitus","Annihilation","US-Burning Blade","31730.0"
"213.0","","Scapha","Darkwind","US-Wyrmrest Accord","31730.0"
"215.0","","Archmage","Rise Above","US-Azralon","31720.0"
"215.0","","Finesthour","Vindicatum","US-Icecrown","31720.0"
"217.0","","Fightox","Atrophy","US-Stormrage","31715.0"
"217.0","","Tatahe","Might","US-Zul'jin","31715.0"
"219.0","","Misao","Kuro no Kishidan","US-Azralon","31710.0"
"219.0","","Loknesdotser","","US-Illidan","31710.0"
"221.0","","Kibba","Functional","US-Stormrage","31705.0"
"222.0","","Blassphamy","Inebriated Raiding","US-Cho'gall","31700.0"
"223.0","","Selbink","Friend Zone","US-Stormrage","31695.0"
"224.0","","Shatterskull","The Old Timers Guild","US-Kul Tiras","31685.0"
"225.0","","Tyranor","Celestials","US-Kel'Thuzad","31680.0"
"225.0","","Lenlaar","Pie Vendor","US-Shadowsong","31680.0"
"227.0","","Megalich","Anømaly","US-Quel'Thalas","31670.0"
"227.0","","Lils","Hyrulian Knights","US-Sentinels","31670.0"
"229.0","","Caprotina","Discretion Advised","US-Shu'halo","31660.0"
"229.0","","Olichius","We Have a Tabard","US-Doomhammer","31660.0"
"231.0","","Nineinchnail","Primal Might","US-Exodar","31645.0"
"232.0","","Morgiana","Army Of Heroes","US-Maiev","31630.0"
"232.0","","Censor","Reload","US-Dalaran","31630.0"
"234.0","","Patternho","Tribe of Women","US-Burning Blade","31610.0"
"235.0","","Eillaruaa","Starting Zone Survivors","US-Area 52","31605.0"
"236.0","","Adriyel","","US-Lightbringer","31600.0"
"236.0","","Quizzical","Unhallowed","US-Misha","31600.0"
"238.0","","Adam","Nurfed","US-Tichondrius","31590.0"
"239.0","","Exetrage","Ruination","US-Baelgun","31585.0"
"239.0","","Ky","Renegades","US-Trollbane","31585.0"
"241.0","","Lethander","Baby Sharks","US-Sargeras","31570.0"
"242.0","","Brewce","E X A L T E D","US-Aman'Thul","31560.0"
"243.0","","Casandra","Progression","US-Stormrage","31550.0"
"244.0","","Mugmanimus","Ångst","US-Kil'jaeden","31520.0"
"244.0","","Baxal","Viva La Hueva","US-Quel'Thalas","31520.0"
"246.0","","Darckli","Defenestrate","US-Tichondrius","31515.0"
"246.0","","Jykupajr","Friend Zone","US-Stormrage","31515.0"
"248.0","","Rawrbewbz","Saronite Bomb Squad","US-Caelestrasz","31500.0"
"249.0","","Cuckems","Right Meow","US-Kel'Thuzad","31495.0"
"250.0","","Fleurblossom","La Vie en Rose","US-Emerald Dream","31490.0"
"251.0","","Ismara","HTF","US-Ragnaros","31485.0"
"251.0","","Tats","Vindicatum","US-Icecrown","31485.0"
"253.0","","Dartt","Oathsworn","US-Azjol-Nerub","31480.0"
"254.0","","Gabriellex","Luna","US-Lightbringer","31475.0"
"255.0","","Crooked","Frostwolves","US-Saurfang","31460.0"
"255.0","","Alraec","Better Late Than Never","US-Earthen Ring","31460.0"
"257.0","","Taranani","Intent","US-Kil'jaeden","31450.0"
"258.0","","Narcosis","Dragon Knight","US-Boulderfist","31445.0"
"258.0","","Kajoko","Scotch and Soda","US-Whisperwind","31445.0"
"260.0","","Adezero","Rivalry","US-Kil'jaeden","31440.0"
"261.0","","Thaneroland","Blood Rich","US-Area 52","31435.0"
